label,shape_type,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28,a_29,a_30,a_31,a_32,a_33,a_34,a_35,a_36,a_37,a_38,a_39,a_40,a_41,a_42,a_43,a_44,a_45,a_46,a_47,a_48,a_49,a_50,a_51,a_52,a_53,a_54,a_55,a_56,a_57,a_58,a_59,a_60,a_61,a_62,a_63,a_64,a_65,a_66,a_67,a_68,a_69,a_70,a_71,a_72,a_73,a_74,a_75,a_76,a_77,a_78,a_79,a_80,a_81,a_82,a_83,a_84,a_85,a_86,a_87,a_88,a_89,a_90,a_91,a_92,a_93,a_94,a_95,a_96,a_97,a_98,a_99,a_100
0,gaussian,0.010631,-0.007008,0.013497,-0.006984,-0.018550,0.004618,0.014003,0.012266,0.009900,0.008005,-0.002610,-0.006064,-0.009755,0.013709,-0.015431,-0.001445,-0.005777,-0.022610,-0.021467,0.003073,0.010852,-0.013586,0.008588,-0.012915,-0.023015,-0.013863,0.001958,-0.024370,0.000222,0.003509,-0.011152,0.018484,0.004091,-0.007571,-0.013493,-0.026511,-0.007696,-0.003183,0.015978,-0.002179,-0.001566,-0.014179,0.008214,0.044618,0.161786,0.456491,0.969404,1.712465,2.410987,2.647269,2.324152,1.569485,0.880112,0.368231,0.123502,0.048533,-0.000427,0.022893,0.017889,-0.020809,-0.007285,0.001511,0.020028,-0.008143,0.001532,-0.019768,-0.024452,0.008536,-0.007787,-0.001753,-0.002321,-0.001833,0.017538,-0.004902,0.009197,0.017107,0.010160,-0.013635,0.007009,-0.009713,0.016675,0.018520,0.004661,0.022044,0.020714,0.016766,0.009218,-0.004953,-0.017207,0.004165,0.002184,0.010855,-0.002101,0.010450,0.024624,0.010567,0.000620,0.001754,-0.017331,-0.003342,-0.003824
1,lorentzian,0.034130,-0.026291,0.102661,0.044473,-0.042466,0.045025,-0.038280,-0.020125,-0.040486,-0.041346,-0.046519,0.050585,0.153403,-0.018147,0.085828,-0.031711,0.018170,0.166462,0.000040,0.112551,-0.005797,-0.052031,0.268645,0.066493,0.091760,-0.004692,0.022837,-0.007375,0.100470,0.134182,0.139568,0.142838,0.049777,0.130166,0.111963,0.090856,0.134692,0.084627,0.098999,0.096934,0.289117,0.295918,0.318286,0.386360,0.517262,0.532471,0.593730,0.567435,0.950284,0.987849,1.258092,1.085130,1.037782,0.955512,0.766333,0.567998,0.481821,0.308660,0.328363,0.270094,0.343819,0.150948,0.167697,0.071082,0.074232,0.090870,0.050617,0.174667,0.072639,0.150236,0.071294,-0.120807,0.045729,0.131558,0.095581,-0.022464,-0.013604,0.119689,0.054756,-0.004143,0.004635,0.007417,-0.016857,-0.020522,0.077580,-0.084601,-0.027271,-0.018866,-0.091365,0.092807,0.027598,0.110538,-0.135175,-0.053633,0.082624,0.013638,0.010160,-0.025218,0.004612,0.092270,0.012743
0,gaussian,-0.002314,0.014389,0.003227,-0.015840,-0.003496,0.018347,0.016650,0.017667,0.015317,0.010988,0.005543,0.001716,0.002523,-0.003336,-0.008071,0.011471,0.001832,0.019203,-0.014417,0.000607,0.003671,0.009226,-0.007815,-0.009002,-0.038439,-0.019262,-0.003792,0.005322,-0.024551,0.009809,-0.026133,0.002793,-0.029988,0.004621,-0.024469,0.004189,-0.016461,-0.014440,0.006767,0.020198,0.014878,0.004698,0.014550,0.016339,0.022585,0.096692,0.276797,0.728139,1.432956,2.188875,2.710416,2.565915,1.946128,1.152959,0.516878,0.186877,0.063685,0.002557,0.005349,-0.003495,0.016492,0.017019,0.007603,0.002771,-0.007392,0.011980,-0.009616,0.024050,-0.016292,0.015919,-0.008461,0.004159,-0.010711,-0.003620,-0.025339,-0.001450,0.014930,0.008118,0.013742,0.017651,-0.009211,0.009545,-0.000523,0.005385,-0.021284,0.018837,0.016201,0.004543,-0.001246,-0.007652,0.016169,0.030664,-0.000952,-0.000188,-0.012105,-0.011260,0.011408,-0.029705,0.004457,0.033852,-0.010116
0,gaussian,0.012578,0.025737,-0.011959,0.029655,-0.036941,-0.016914,-0.017082,0.000525,-0.000085,0.007769,-0.001576,0.003703,-0.012254,0.017932,0.017213,-0.012458,0.000591,-0.000193,0.000421,-0.008031,-0.018043,0.017984,0.002827,-0.009712,-0.006242,0.000215,0.006313,-0.016394,-0.005084,0.018999,-0.014394,0.011315,-0.024240,-0.001736,0.008245,-0.005704,0.004944,-0.002687,-0.004543,0.009871,0.034105,0.004422,0.072435,0.188403,0.502387,1.047658,1.794677,2.490644,2.761465,2.514398,1.790181,1.029800,0.537093,0.173464,0.049591,0.015177,0.015108,0.023199,0.010069,0.027534,-0.024698,-0.001188,0.037355,-0.006728,-0.036988,-0.023940,-0.011377,0.020277,0.023956,0.004893,0.006873,0.011573,-0.002249,-0.030749,-0.000832,-0.001836,-0.006975,-0.014101,0.026490,-0.009108,0.014970,0.014596,-0.013962,-0.009911,-0.003871,-0.000489,-0.004161,-0.003181,0.002639,-0.005902,-0.011013,-0.004020,0.002690,0.034010,0.004977,-0.008232,0.001954,0.018794,-0.005100,0.012706,-0.013306
0,gaussian,0.010733,0.039654,0.045406,0.004900,-0.027839,-0.000684,0.008014,-0.028459,-0.013588,0.019562,0.030140,-0.029865,0.006159,-0.003925,0.005548,-0.021325,0.010706,-0.006771,0.000677,-0.009686,-0.000293,-0.000853,-0.011507,-0.015255,0.009486,0.019549,0.002699,-0.006342,0.023150,0.030810,-0.005080,-0.006697,-0.061569,0.019569,-0.004211,-0.012327,0.016992,0.017158,0.016967,-0.008313,-0.009865,0.017727,0.061172,0.120693,0.410459,0.773943,1.418618,2.122197,2.722821,2.912762,2.642296,2.029530,1.286626,0.711528,0.323246,0.093734,0.040995,0.025963,0.013614,-0.018759,0.019451,-0.012174,-0.011907,0.008205,-0.005955,0.026073,0.003483,0.018420,-0.000522,0.003123,0.009349,-0.039897,-0.011095,-0.028227,-0.027521,0.014005,0.015340,0.002755,-0.006023,-0.001448,0.028250,-0.011087,0.007089,-0.000535,0.048878,0.014817,-0.003217,0.032526,-0.002837,-0.004151,-0.017448,-0.009747,-0.019054,0.038564,-0.006967,-0.005682,-0.008572,-0.019936,-0.012677,0.003162,-0.006542
0,gaussian,-0.001778,-0.002722,-0.022931,-0.010778,0.020731,0.030343,-0.035432,0.010393,0.023691,-0.022917,-0.003612,-0.019658,-0.012730,-0.001024,-0.009521,-0.002179,-0.003079,-0.005861,-0.004610,-0.000680,0.027203,-0.006149,0.014354,0.008364,0.008676,0.015165,0.001979,0.015726,0.002421,-0.018924,-0.024386,0.000798,0.016384,0.011931,0.011359,0.022053,0.007735,-0.014755,-0.013408,-0.019595,0.005526,-0.000151,0.020114,0.062019,0.159497,0.373386,0.856200,1.533048,2.312954,2.831165,2.884463,2.374291,1.620797,0.942423,0.454344,0.180524,0.056300,0.003199,-0.020756,0.010343,-0.019070,-0.023969,-0.002793,0.006252,-0.015563,0.011585,-0.003106,-0.003859,-0.006054,0.011038,0.007563,0.000830,-0.001688,0.013500,-0.007155,-0.011612,0.021433,0.003246,0.002258,0.012966,0.021512,-0.002084,-0.004723,0.004249,0.011144,0.024134,-0.013008,-0.004674,-0.005898,0.009516,0.021808,-0.006929,-0.004979,-0.029743,-0.017128,0.007537,0.003044,0.005989,0.001452,0.035859,0.024532
1,lorentzian,0.123610,-0.012591,0.238465,-0.156658,-0.125785,0.126743,0.139409,-0.003188,-0.065991,0.047223,0.185069,-0.190040,0.132741,0.259906,0.016752,-0.021772,0.121955,0.005985,0.049830,0.180029,0.051371,0.200660,0.112753,0.042399,-0.017877,0.008605,0.095828,0.232865,0.180299,0.161682,0.241633,0.165088,0.201241,0.253422,0.319143,0.422743,0.639204,0.623262,0.804358,0.848527,1.068775,1.312919,1.408837,1.301020,1.226890,1.146095,0.798113,0.750464,0.588716,0.423112,0.238152,0.398143,0.222911,0.195329,0.190625,0.147829,0.298606,0.122360,0.097347,-0.040460,0.065065,-0.155892,0.227808,-0.016226,0.065843,0.122462,0.102750,0.175818,-0.098388,0.129748,0.168313,-0.131603,0.016322,0.009310,-0.034240,-0.042880,-0.070261,-0.171786,0.003008,0.120662,0.141823,-0.147808,0.023868,-0.007242,0.060392,0.030057,0.028583,-0.049311,-0.058710,0.146917,0.014954,0.030383,0.023625,0.059315,0.048946,0.075179,0.167150,0.021155,0.080673,0.159470,0.059558
0,gaussian,0.022855,0.012686,0.014496,-0.012610,0.017809,0.004538,-0.006986,-0.012374,-0.001781,-0.030667,0.013334,-0.000331,-0.006644,-0.015199,-0.007659,0.014282,-0.023461,0.001865,-0.006364,0.000699,0.019839,0.008127,-0.010353,-0.008593,0.012113,0.002229,-0.034293,0.005628,0.009985,0.000399,-0.003988,0.004306,0.013663,0.046977,-0.007927,-0.002797,-0.025581,0.019789,0.005584,-0.009203,0.017129,-0.017648,0.023562,0.028507,0.114961,0.224920,0.455206,0.804919,1.299872,1.926378,2.493989,2.849809,2.930298,2.716343,2.218818,1.624901,1.043126,0.628857,0.300898,0.167231,0.057416,0.021362,0.004870,-0.027641,-0.021217,-0.017587,-0.007474,-0.000116,-0.006556,-0.004924,0.008346,0.014232,0.001354,-0.015206,-0.010336,0.013936,-0.023976,-0.018505,0.000465,0.005816,-0.005884,-0.003058,0.003173,-0.012268,-0.013712,0.016022,0.010781,0.007714,-0.017402,-0.003903,0.003679,-0.010283,0.006577,0.026554,-0.009649,-0.003155,-0.000185,-0.006722,0.002141,-0.005515,0.003822
0,gaussian,-0.015046,-0.016102,-0.009662,0.016075,-0.002383,0.016562,-0.031418,0.010609,0.025358,-0.006017,0.035188,-0.015138,-0.008467,-0.030337,-0.005543,-0.019023,0.030904,0.009014,0.023604,0.027949,-0.016794,-0.023247,0.025105,-0.013770,0.005762,-0.007060,0.001591,-0.006477,0.006574,-0.008413,0.013052,-0.011368,0.014179,-0.019869,-0.007160,-0.014796,0.004061,-0.008543,0.009599,0.005447,-0.008869,0.008625,0.048747,0.123782,0.293266,0.587503,1.013536,1.569826,2.086594,2.510447,2.580203,2.401192,1.927888,1.380488,0.866351,0.487520,0.202099,0.075618,0.023173,0.030689,0.044057,-0.007620,-0.014453,-0.014696,-0.000530,0.004870,-0.002837,-0.008851,0.008531,0.008324,-0.013650,-0.012213,0.011606,0.023209,-0.002534,0.010222,0.009348,-0.011458,-0.015110,-0.001909,-0.008315,0.010991,-0.023301,-0.005645,0.011909,-0.002445,-0.002346,-0.001165,-0.003542,-0.002983,0.001874,0.000226,-0.013569,0.019086,0.000878,0.006947,-0.015636,-0.028233,-0.003896,0.008973,-0.025920
0,gaussian,-0.003029,-0.003070,-0.007979,-0.010783,0.016057,-0.018429,0.009727,-0.017885,0.025054,0.016827,-0.018272,-0.009991,0.003158,-0.018379,0.000187,0.017669,0.014599,0.010550,-0.017006,0.021044,0.005657,0.001139,0.013077,0.020149,0.022241,0.012154,-0.001957,0.016574,0.007852,0.000821,-0.001782,-0.024617,0.005598,0.016411,-0.015161,0.024606,-0.009476,0.013613,-0.007424,0.019300,0.008011,0.020244,0.031592,-0.004370,0.050848,0.116978,0.279763,0.580560,1.046893,1.631106,2.208997,2.603913,2.636349,2.320812,1.773066,1.164872,0.661506,0.310576,0.111257,0.047713,0.017334,-0.005344,-0.017462,0.012499,0.001979,-0.012791,-0.004023,-0.004602,0.002545,-0.017119,0.000625,0.000124,-0.001835,0.009441,-0.000562,-0.016886,0.007623,-0.013673,-0.004069,0.007781,0.008679,-0.006295,0.005021,0.000181,0.002927,0.010681,-0.013946,0.013372,-0.023414,-0.018414,0.024132,0.002972,0.008692,0.000676,0.008061,-0.010805,-0.011625,-0.002099,-0.002448,-0.024019,-0.005059
1,lorentzian,0.010666,-0.059916,-0.042734,-0.003257,0.184650,0.172221,-0.035203,0.113871,-0.162351,-0.013313,0.077590,-0.047874,0.076413,0.094624,-0.010001,-0.098337,0.022722,0.036172,0.040511,0.038638,-0.024690,0.259088,0.064202,-0.083167,-0.033943,0.115450,0.077451,0.057660,-0.017153,0.210874,0.123780,0.087850,0.017877,0.232733,0.101866,0.119618,0.065179,0.107372,0.048135,0.093362,0.135237,0.088694,0.123754,0.278315,0.164035,0.209770,0.098254,0.397505,0.289347,0.448688,0.543003,0.627011,0.733784,0.909265,0.917348,1.266364,1.362722,1.096572,1.338813,1.064282,0.879246,0.831998,0.470722,0.348756,0.247077,0.382544,0.367140,0.204148,0.116826,0.126789,0.092060,0.160954,0.222081,-0.057055,0.075122,0.048843,0.105284,-0.082400,0.010200,-0.097221,-0.104485,-0.117172,0.155102,-0.069716,0.138119,-0.095307,0.042533,-0.032330,0.043938,0.138987,-0.015737,-0.052819,0.040763,0.190726,-0.041595,0.013102,-0.010083,0.097765,0.056898,-0.129942,-0.108996
0,gaussian,-0.020010,0.006751,0.005039,-0.019196,0.007580,-0.014289,-0.014805,0.021245,-0.013453,-0.026308,-0.006143,-0.004470,-0.000788,-0.011537,-0.004100,-0.007400,-0.005877,0.010690,0.001544,-0.000860,-0.006769,0.012663,-0.018393,-0.000574,0.023376,-0.010645,-0.000830,0.006336,0.023940,-0.010392,0.001375,0.010129,-0.028834,0.018022,0.005674,0.001872,-0.025760,-0.008881,0.026299,0.035216,0.051648,0.158631,0.301323,0.590848,1.036716,1.555878,2.143951,2.633141,2.883406,2.824145,2.447790,1.896548,1.339881,0.845177,0.464026,0.242729,0.114464,0.043934,0.019525,-0.000491,0.007157,-0.013301,0.021242,0.001322,0.008531,-0.013207,-0.015856,-0.009443,0.016926,-0.007058,0.008976,-0.002407,-0.001891,0.021416,0.008045,-0.014003,0.021204,0.019220,0.004929,-0.005585,0.011851,0.003921,0.001694,-0.013587,0.007611,-0.025883,0.010565,-0.009010,-0.008626,-0.009809,-0.018622,0.003825,-0.018028,0.003005,0.013399,0.007080,0.023101,0.004634,0.008578,-0.001001,-0.009685
1,lorentzian,0.073795,0.126565,0.121974,0.096025,0.046544,0.049597,0.085426,0.024166,0.080591,0.028877,-0.125204,-0.017734,0.116674,0.143931,0.145312,0.111074,-0.119193,0.200273,0.013302,0.014054,-0.029697,-0.090919,0.235208,0.006219,-0.084182,0.098925,0.124115,-0.025233,0.017648,0.028481,0.143502,0.211138,0.188875,0.182943,0.316641,0.353317,0.277522,0.332400,0.485415,0.607854,0.753919,0.980836,1.025866,1.237930,1.533434,1.491028,1.262532,1.202601,1.097960,0.827441,0.789986,0.631890,0.544355,0.374022,0.457958,0.415922,0.215225,0.226729,0.251904,0.156499,0.154984,0.145996,0.112446,0.007644,0.084606,0.042558,0.087886,-0.028654,0.158649,0.099038,0.025353,0.145319,0.030139,-0.041560,0.047191,-0.039017,-0.006789,-0.008713,0.056184,-0.023103,0.125644,0.196219,-0.001622,0.008502,0.077175,-0.017202,0.044008,-0.093447,0.035433,-0.140417,0.047194,0.170566,-0.009298,-0.018996,0.154895,0.138705,0.090392,-0.026018,0.041541,0.161027,0.066058
0,gaussian,-0.000081,0.012992,0.007015,-0.008229,-0.005817,0.001718,-0.001014,-0.005793,0.001182,-0.011238,-0.005332,0.013691,-0.003127,-0.001181,0.005833,-0.021815,0.018810,0.004578,0.021743,0.014109,0.004620,0.003650,-0.006732,0.008704,-0.011439,0.002470,-0.005866,0.000964,-0.006368,0.009349,-0.001210,-0.005252,0.011199,-0.008153,-0.000004,-0.008886,0.017604,-0.006833,-0.014100,0.013193,-0.013283,-0.008163,0.024569,0.010603,0.014604,0.064088,0.190895,0.499933,1.028155,1.706358,2.364646,2.711715,2.550662,1.963752,1.241263,0.669909,0.289243,0.104098,0.049484,0.008459,-0.001165,-0.002158,-0.008387,0.004627,0.018968,-0.025928,-0.016242,-0.012220,-0.007641,0.003808,0.004582,-0.004007,0.008790,0.002334,-0.006293,0.019912,0.021673,-0.009324,-0.015093,0.008457,0.003933,-0.000758,-0.022327,0.007338,0.022688,0.010449,-0.009671,-0.002552,0.008434,-0.001882,0.003661,-0.020165,0.016251,0.004907,-0.004502,-0.009446,0.001837,-0.001219,-0.016765,-0.005418,-0.010988
